year,News,Opinion,Sport,Culture,Lifestyle,Ads
Jan-86,0,0,0,0,0,0
Feb-86,0,0,0,0,0,0
Mar-86,0,0,0,0,0,0
Apr-86,0,0,0,0,0,0
May-86,0,0,0,0,0,0
Jun-86,0,0,0,0,0,0
Jul-86,0,0,0,0,0,0
Aug-86,0,0,0,0,0,0
Sep-86,0,0,0,0,0,0
Oct-86,0,0,0,0,0,0
Nov-86,0,0,0,0,0,0
Dec-86,0,0,0,0,0,0
Jan-87,0,0,0,0,0,0
Feb-87,0,0,0,0,0,0
Mar-87,0,0,0,0,0,0
Apr-87,0,0,0,0,0,0
May-87,0,0,0,0,0,0
Jun-87,0,0,0,0,0,0
Jul-87,0,0,0,0,0,0
Aug-87,0,0,0,0,0,0
Sep-87,0,0,0,0,0,0
Oct-87,0,0,0,0,0,0
Nov-87,0,0,0,0,0,0
Dec-87,0,0,0,0,0,0
Jan-88,0,0,0,0,0,0
Feb-88,0,0,0,0,0,0
Mar-88,0,0,0,0,0,0
Apr-88,0,0,0,0,0,0
May-88,0,0,0,0,0,0
Jun-88,0,0,0,0,0,0
Jul-88,0,0,0,0,0,0
Aug-88,0,0,0,0,0,0
Sep-88,0,0,0,0,0,0
Oct-88,0,0,0,0,0,0
Nov-88,0,0,0,0,0,0
Dec-88,0,0,0,0,0,0
Jan-89,0,0,0,0,0,0
Feb-89,0,0,0,0,0,0
Mar-89,0,0,0,0,0,0
Apr-89,0,0,0,0,0,0
May-89,0,0,0,0,0,0
Jun-89,0,0,0,0,0,0
Jul-89,2,1,0,0,0,0
Aug-89,0,0,0,0,0,0
Sep-89,0,0,0,0,0,0
Oct-89,0,0,0,0,0,0
Nov-89,8,2,0,0,0,0
Dec-89,0,0,0,0,0,0
Jan-90,12,2,0,0,0,0
Feb-90,6,1,0,2,0,0
Mar-90,4,0,0,0,0,0
Apr-90,4,0,0,0,0,0
May-90,25,13,0,5,1,0
Jun-90,30,6,0,2,1,0
Jul-90,7,1,0,2,0,0
Aug-90,8,0,0,2,1,0
Sep-90,6,0,0,0,2,0
Oct-90,4,1,0,2,0,2
Nov-90,2,0,0,0,0,0
Dec-90,1,2,0,1,1,0
Jan-91,1,0,0,0,0,1
Feb-91,3,0,0,0,0,0
Mar-91,6,0,0,0,1,0
Apr-91,4,0,0,1,0,0
May-91,0,0,0,0,0,0
Jun-91,3,0,0,0,0,1
Jul-91,3,0,0,0,0,0
Aug-91,1,0,0,0,0,0
Sep-91,1,0,0,0,1,0
Oct-91,0,0,0,0,1,0
Nov-91,0,1,0,0,0,0
Dec-91,1,0,0,1,0,0
Jan-92,4,0,0,0,0,0
Feb-92,4,0,0,0,1,0
Mar-92,1,0,0,0,0,0
Apr-92,2,0,0,2,0,0
May-92,1,0,0,2,0,0
Jun-92,1,0,0,2,0,0
Jul-92,5,0,0,0,0,0
Aug-92,1,0,0,1,0,0
Sep-92,0,0,0,0,0,0
Oct-92,0,0,0,1,0,0
Nov-92,2,0,0,0,0,0
Dec-92,0,1,0,1,0,0
Jan-93,0,0,0,0,0,0
Feb-93,0,0,0,0,0,0
Mar-93,1,0,0,0,0,0
Apr-93,0,0,0,0,0,0
May-93,1,0,0,0,0,0
Jun-93,0,1,0,0,0,0
Jul-93,1,0,0,0,0,0
Aug-93,1,0,0,0,0,0
Sep-93,7,1,0,0,0,0
Oct-93,2,0,0,0,0,0
Nov-93,1,0,0,0,0,0
Dec-93,0,0,0,0,0,0
Jan-94,3,0,0,2,1,0
Feb-94,4,1,0,0,0,0
Mar-94,4,0,0,1,0,1
Apr-94,7,1,0,1,0,1
May-94,10,1,0,0,0,0
Jun-94,5,0,0,0,0,0
Jul-94,9,4,0,3,0,0
Aug-94,2,2,0,0,2,0
Sep-94,1,1,0,1,0,0
Oct-94,6,0,0,1,0,0
Nov-94,1,1,0,0,0,0
Dec-94,2,1,0,0,0,0
Jan-95,2,2,0,0,0,0
Feb-95,2,0,0,0,2,0
Mar-95,0,0,0,0,1,0
Apr-95,0,0,0,0,0,0
May-95,0,0,0,0,0,0
Jun-95,1,2,0,0,0,0
Jul-95,1,0,0,0,0,0
Aug-95,1,0,0,1,0,2
Sep-95,2,0,0,2,0,3
Oct-95,5,0,0,0,1,0
Nov-95,5,1,0,2,0,1
Dec-95,18,5,0,0,2,0
Jan-96,2,0,0,0,1,0
Feb-96,4,0,0,0,1,2
Mar-96,40,21,0,3,1,0
Apr-96,19,2,0,0,0,0
May-96,9,2,0,0,0,0
Jun-96,3,0,0,0,2,0
Jul-96,8,1,0,1,0,0
Aug-96,11,1,0,0,1,1
Sep-96,5,1,0,0,0,1
Oct-96,4,1,0,0,0,0
Nov-96,5,1,0,0,1,0
Dec-96,4,0,0,0,0,0
